Location,Weather Type,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
Hilo,Max Temp,2008,82,86,85,84,84,87,89,87,86,85,82,84,89
Hilo,Max Temp,2009,84,80,81,80,86,86,86,86,85,89,84,86,89
Hilo,Max Temp,2010,86,85,81,86,84,85,87,86,86,86,83,85,87
Hilo,Max Temp,2011,83,85,85,83,82,84,84,86,86,86,83,81,86
Hilo,Max Temp,2012,85,83,83,83,83,84,84,85,85,86,84,85,86
Hilo,Max Temp,2013,84,80,84,87,87,85,87,86,88,87,94,84,94
Hilo,Max Temp,2014,84,85,87,82,86,83,87,87,93,88,85,83,93
Hilo,Max Temp,2015,87,89,84,85,84,88,90,90,93,89,88,86,93
Hilo,Max Temp,2016,88,89,90,87,87,86,88,88,87,85,85,83,90
Hilo,Max Temp,2017,82,86,86,89,85,87,88,86,87,88,85,85,89
Hilo,Max Temp,2018,89,87,90,86,85,86,86,86,91,88,85,83,91
Hilo,Max Temp,2019,84,86,82,88,88,88,88,89,92,90,90,86,92
Hilo,Max Temp,2020,89,87,84,85,88,87,93,89,90,90,88,86,93
Hilo,Max Temp,2021,85,85,87,87,85,87,87,0,0,0,0,0,87
Hilo,Min Temp,2000,58,58,61,62,64,66,66,67,64,64,63,61,58
Hilo,Min Temp,2001,57,57,60,63,63,64,65,65,66,64,63,60,57
Hilo,Min Temp,2002,61,60,60,63,66,66,66,66,66,65,64,63,60
Hilo,Min Temp,2003,60,61,60,63,60,67,67,67,67,66,60,62,60
Hilo,Min Temp,2004,59,60,60,64,65,66,67,68,67,66,63,61,59
Hilo,Min Temp,2005,60,60,59,64,65,67,67,66,68,63,64,60,59
Hilo,Min Temp,2006,63,59,62,60,60,64,66,67,63,65,65,62,59
Hilo,Min Temp,2007,57,58,62,61,62,65,64,65,66,63,62,63,57
Hilo,Min Temp,2008,59,59,61,58,63,63,65,65,64,64,63,61,58
Hilo,Min Temp,2009,58,57,56,59,63,64,65,65,63,66,65,60,56
Hilo,Min Temp,2010,58,61,60,61,65,64,65,66,65,64,63,60,58
Hilo,Min Temp,2011,59,61,63,63,65,65,65,66,65,64,63,62,59
Hilo,Min Temp,2012,61,61,60,63,62,65,64,67,65,63,61,63,60
Hilo,Min Temp,2013,58,60,61,58,64,66,67,66,65,67,65,62,58
Hilo,Min Temp,2014,58,62,60,63,63,62,66,67,67,66,62,60,58
Hilo,Min Temp,2015,59,61,63,63,63,65,69,69,69,66,67,63,59
Hilo,Min Temp,2016,59,61,64,65,66,67,68,68,67,65,64,62,59
Hilo,Min Temp,2017,60,60,63,64,63,65,67,68,66,67,60,57,57
Hilo,Min Temp,2018,60,58,63,65,66,67,68,69,68,67,65,63,58
Hilo,Min Temp,2019,61,57,60,65,63,67,67,69,71,70,65,63,57
Hilo,Min Temp,2020,64,59,63,65,66,66,69,69,69,67,65,64,59
Hilo,Min Temp,2021,63,60,62,61,65,63,66,0,0,0,0,0,60
Honolulu,Precipitation,2000,1.26,0.07,0.38,0.46,0.03,0.03,0.41,1.17,0.78,0.25,2.09,0.17,7.1
Honolulu,Precipitation,2001,0.18,0.57,0.62,0.29,0.14,1.16,0.13,0.05,0.28,1.05,3.91,0.76,9.14
Honolulu,Precipitation,2002,3.91,0.69,2.51,0.08,1.96,0.07,0.12,0.27,0.1,2.11,0.36,0.04,12.22
Honolulu,Precipitation,2003,1.21,1.09,1.95,0.81,0.09,0.2,0.52,0.02,0.28,1.14,0.57,4.81,12.69
Honolulu,Precipitation,2004,6.88,9.47,0.56,0.58,1.29,0.31,0.09,3.74,1.01,1.25,7.87,5.96,39.01
Honolulu,Precipitation,2005,6.23,1.28,1.88,0.64,0.27,0.28,0.29,0.1,0.9,1.6,1.77,0.36,15.6
Honolulu,Precipitation,2006,1.53,2.62,16.92,0.75,1.11,0.09,0.08,0.11,0.66,2.5,2.5,0.58,29.45
Honolulu,Precipitation,2007,1.1,0.4,0.68,0.2,0.12,0.16,0.05,0.09,0.5,0.15,5.46,3.08,11.99
Honolulu,Precipitation,2008,0.29,0.42,0.08,0.2,0.53,0.55,0.8,0.38,0.43,0.57,2.93,7.58,14.76
Honolulu,Precipitation,2009,3.69,0.25,2.25,0.55,0.15,0.04,0.34,0.55,0.15,1.27,1.56,0.75,11.55
Honolulu,Precipitation,2010,0.71,0.67,0.59,0.28,1.4,0.22,0.38,0.13,0.63,0.11,0.55,11.73,17.4
Honolulu,Precipitation,2011,2.87,1.85,0.95,2.63,3.09,1.36,0.57,0.07,0.07,0.24,0.89,1.1,15.69
Honolulu,Precipitation,2012,0.56,1.14,5.5,0.24,0.04,0.06,0.13,0.07,0.52,0.09,0.22,0.01,8.58
Honolulu,Precipitation,2013,2.42,0.65,2.95,1.75,0.69,0.17,0.35,0.1,1.33,0.18,1.95,3.64,16.18
Honolulu,Precipitation,2014,2.45,1.23,2.61,0.33,3.35,0.58,1.12,0.56,0.58,5.51,1.43,1.07,20.82
Honolulu,Precipitation,2015,0.93,0.84,0.62,0.34,0.2,0.23,0.43,7.63,4.48,0.91,4.16,0.27,21.04
Honolulu,Precipitation,2016,0.03,0.4,0.22,0.22,3.17,0.19,2.71,1.58,2.92,0.12,0.73,0.87,13.16
Honolulu,Precipitation,2017,0.21,7.12,2.75,3.05,0.36,0.53,0.02,1.85,0.1,2.78,0.45,3.4,22.62
Honolulu,Precipitation,2018,0.06,4.12,2.57,1.19,0.25,0.15,0.23,1.02,1.78,4.62,0.36,0.6,16.95
Honolulu,Precipitation,2019,0.33,2.17,0.08,0.2,0.3,5.68,0.12,0.18,2.13,1.15,2.58,1.69,16.61
Honolulu,Precipitation,2020,1.13,0.88,3.76,2.56,0.55,0.1,0.77,0.13,0.1,3.2,0.16,0.31,13.65
Honolulu,Precipitation,2021,3.23,1.54,4.21,0.44,0.03,0.06,0,0,0,0,0,0,0
Honolulu,Max Temp,2000,84,85,85,85,87,90,90,90,89,89,85,85,90
Honolulu,Max Temp,2001,84,85,85,85,88,88,90,91,92,91,85,84,92
Honolulu,Max Temp,2002,85,86,84,86,88,89,90,90,90,90,86,85,90
Honolulu,Max Temp,2003,84,84,85,86,88,90,92,92,90,90,89,84,92
Honolulu,Max Temp,2004,84,87,87,87,89,89,91,92,92,92,87,84,92
Honolulu,Max Temp,2005,82,83,85,88,90,90,91,92,93,89,85,84,93
Honolulu,Max Temp,2006,84,82,83,84,85,88,89,90,89,88,87,87,90
Honolulu,Max Temp,2007,84,83,83,86,88,89,89,90,91,88,86,82,91
Honolulu,Max Temp,2008,82,85,86,88,90,88,90,90,90,89,86,85,90
Honolulu,Max Temp,2009,82,82,84,84,92,88,91,91,92,91,87,84,92
Honolulu,Max Temp,2010,84,85,84,85,87,87,89,90,89,89,87,84,90
Honolulu,Max Temp,2011,84,85,85,87,88,87,89,89,90,90,87,85,90
Honolulu,Max Temp,2012,83,83,84,86,87,87,88,89,89,89,86,83,89
Honolulu,Max Temp,2013,83,83,82,86,89,86,89,90,90,89,87,88,90
Honolulu,Max Temp,2014,82,84,85,85,89,89,90,90,93,91,88,86,93
Honolulu,Max Temp,2015,85,86,87,86,87,90,92,93,91,92,90,86,93
Honolulu,Max Temp,2016,85,87,84,87,88,89,91,91,90,89,86,86,91
Honolulu,Max Temp,2017,84,84,87,87,88,88,89,91,91,89,89,84,91
Honolulu,Max Temp,2018,85,86,88,86,88,90,91,92,91,90,86,86,92
Honolulu,Max Temp,2019,85,84,86,88,91,92,92,95,93,91,89,85,95
Honolulu,Max Temp,2020,85,87,84,86,88,90,91,92,93,91,89,87,93
Honolulu,Max Temp,2021,86,86,85,88,89,90,90,0,0,0,0,0,90
Honolulu,Min Temp,2000,59,62,64,63,67,70,72,70,70,71,66,63,59
Honolulu,Min Temp,2001,63,59,61,68,69,70,72,72,72,69,65,63,59
Honolulu,Min Temp,2002,61,60,60,62,69,73,73,74,70,68,64,63,60
Honolulu,Min Temp,2003,57,58,61,67,69,71,72,73,71,70,67,63,57
Honolulu,Min Temp,2004,60,63,61,64,68,73,74,72,72,71,65,62,60
Honolulu,Min Temp,2005,59,63,58,68,68,74,73,74,72,69,66,59,58
Honolulu,Min Temp,2006,63,60,64,65,60,71,72,71,71,70,68,64,60
Honolulu,Min Temp,2007,61,57,63,63,66,70,73,73,72,69,64,67,57
Honolulu,Min Temp,2008,62,64,66,66,68,71,71,71,71,69,66,66,62
Honolulu,Min Temp,2009,58,61,59,63,67,72,70,65,71,72,68,62,58
Honolulu,Min Temp,2010,61,61,65,65,68,69,69,70,71,69,66,64,61
Honolulu,Min Temp,2011,59,63,67,65,69,68,72,73,70,70,66,65,59
Honolulu,Min Temp,2012,61,60,65,66,66,70,69,73,70,70,63,63,60
Honolulu,Min Temp,2013,59,62,61,61,65,69,70,72,71,67,63,65,59
Honolulu,Min Temp,2014,61,64,65,67,69,70,72,73,72,72,66,60,60
Honolulu,Min Temp,2015,57,60,58,66,67,70,73,73,72,70,69,67,57
Honolulu,Min Temp,2016,63,59,64,67,70,69,69,74,71,71,66,60,59
Honolulu,Min Temp,2017,62,62,65,61,65,71,73,70,72,68,63,62,61
Honolulu,Min Temp,2018,65,63,64,63,65,69,73,74,72,69,67,65,63
Honolulu,Min Temp,2019,65,61,61,64,65,70,75,70,64,71,69,68,61
Honolulu,Min Temp,2020,64,60,65,66,69,72,72,73,69,67,69,64,60
Honolulu,Min Temp,2021,65,60,63,64,71,71,72,0,0,0,0,0,60
Kahului,Precipitation,2000,1,0.06,0.34,1.26,0.04,0.09,0.78,1.2,0.54,0.79,3.44,0.18,9.72
Kahului,Precipitation,2001,0.02,0.9,0.42,0.2,0.08,0.18,0.19,0.69,0.09,1.24,3.41,3.11,10.53
Kahului,Precipitation,2002,3.75,0.99,1.8,0.64,1.83,0.01,0.66,0,0,4.42,0.42,0.55,15.07
Kahului,Precipitation,2003,2.4,5.33,1.7,0.01,0,0.02,0.07,0.21,0.17,0.15,1.05,2.72,13.83
Kahului,Precipitation,2004,7.89,3.08,8.54,2.47,2.24,0.04,0.05,0.36,0.02,0,0,1.48,26.17
Kahului,Precipitation,2005,4.91,1.99,4.24,0.3,0.21,0.05,1.23,0.62,0,0,1.76,0.14,0
Kahului,Precipitation,2006,0.74,0.69,5.34,0.27,0.75,0,0.14,0.04,0.23,4.16,3.04,3.25,18.65
Kahului,Precipitation,2007,0.48,0.93,2.13,0.25,0.05,0,0.11,0.13,0.03,0.48,1.59,6.88,13.06
Kahului,Precipitation,2008,1.42,1.03,0.01,0.66,0.04,0.01,0.47,0.4,0.19,0.13,0.65,4.54,9.55
Kahului,Precipitation,2009,4.43,0.38,2.22,1.42,0.01,0.13,0.08,0.9,0.12,0.3,1.55,2.55,14.09
Kahului,Precipitation,2010,0.99,0.62,1.4,0.77,0.03,0.05,0.06,0.06,0.2,0.4,1.25,3.61,9.44
Kahului,Precipitation,2011,4.31,2.85,0.71,0.06,1.31,0.28,0.63,0.19,0.08,0.1,0.07,0,0
Kahului,Precipitation,2012,0,0.07,2.61,0.33,0.55,0.38,0.12,0.18,0.36,0,0.23,0.21,0
Kahului,Precipitation,2013,1.98,2.96,1.17,0.04,0.79,0.27,0.73,0.54,0.25,0,4.64,2.04,15.41
Kahului,Precipitation,2014,4.96,2.59,3.75,2.54,1.02,0.26,0.84,0.47,0.71,0.88,1,4.23,23.25
Kahului,Precipitation,2015,1.31,3.19,9.61,2.81,2.23,0.1,0.83,2.32,0.37,1.35,4.41,0.73,29.26
Kahului,Precipitation,2016,0.55,0.99,1.95,1.2,3.03,0.35,1.35,0.54,1.24,0.65,0.56,6.59,19
Kahului,Precipitation,2017,0.55,1.93,4.14,7.77,0.08,0.12,0.25,0.26,0.06,2.08,0.94,7.92,26.1
Kahului,Precipitation,2018,0.27,5.58,2.2,4.49,0,0.01,0.27,2.35,1.97,1.82,1.43,0.55,0
Kahului,Precipitation,2019,1.92,5.83,0.59,0.31,0.92,0.03,0.15,0.28,0.21,0.21,0.21,2.2,12.86
Kahului,Precipitation,2020,2.86,2.23,1.5,2.79,0.74,0,0.3,0.03,0.27,0.26,0.25,0.18,11.41
Kahului,Precipitation,2021,3.72,0.56,9.78,0.6,0.14,0,0,0,0,0,0,0,0
Kahului,Max Temp,2000,84,86,87,86,88,91,91,89,91,91,88,88,91
Kahului,Max Temp,2001,87,89,88,87,88,88,92,92,90,89,87,84,92
Kahului,Max Temp,2002,84,84,86,88,90,89,91,92,91,90,87,85,92
Kahului,Max Temp,2003,84,86,87,87,90,89,93,91,92,92,90,85,93
Kahului,Max Temp,2004,84,87,85,87,89,89,92,93,94,92,90,87,94
Kahului,Max Temp,2005,84,87,85,85,89,91,89,91,94,89,87,86,94
Kahului,Max Temp,2006,90,84,88,88,89,91,91,93,92,92,88,85,93
Kahului,Max Temp,2007,85,84,85,87,90,91,90,92,91,92,90,84,92
Kahului,Max Temp,2008,80,82,84,88,89,90,91,91,90,90,89,88,91
Kahului,Max Temp,2009,84,84,82,83,90,91,91,90,91,92,87,85,92
Kahului,Max Temp,2010,85,86,85,89,90,90,95,90,90,91,88,87,95
Kahului,Max Temp,2011,86,87,85,88,90,89,91,89,90,90,86,85,91
Kahului,Max Temp,2012,88,86,86,86,87,88,88,92,89,91,86,86,92
Kahului,Max Temp,2013,86,82,87,91,91,90,92,92,92,91,90,88,92
Kahului,Max Temp,2014,87,86,86,85,92,91,94,91,95,93,91,87,95
Kahului,Max Temp,2015,85,86,88,90,85,92,95,97,94,92,93,87,97
Kahului,Max Temp,2016,88,90,88,90,91,91,93,94,93,91,88,87,94
Kahului,Max Temp,2017,86,85,89,89,90,92,92,93,94,94,89,83,94
Kahului,Max Temp,2018,87,87,87,87,87,91,93,95,94,92,91,87,95
Kahului,Max Temp,2019,88,85,88,90,96,95,97,96,97,95,93,90,97
Kahului,Max Temp,2020,87,87,88,89,92,94,95,94,96,96,96,90,96
Kahului,Max Temp,2021,89,88,87,88,90,92,91,0,0,0,0,0,92
Kahului,Min Temp,2000,54,56,57,58,59,62,65,64,62,64,60,56,54
Kahului,Min Temp,2001,57,57,57,58,63,63,65,66,65,63,61,59,57
Kahului,Min Temp,2002,57,53,55,61,62,63,64,67,61,63,61,56,53
Kahului,Min Temp,2003,53,55,55,58,60,66,69,66,65,65,64,58,53
Kahului,Min Temp,2004,56,57,56,59,60,66,63,65,64,64,58,56,56
Kahului,Min Temp,2005,57,55,51,61,63,64,64,61,67,61,62,58,51
Kahului,Min Temp,2006,60,56,60,59,58,64,65,65,62,62,62,59,56
Kahului,Min Temp,2007,54,54,59,57,61,62,65,65,65,62,61,61,54
Kahului,Min Temp,2008,54,53,56,57,60,62,63,62,65,63,59,59,53
Kahului,Min Temp,2009,53,50,55,56,60,63,64,61,59,63,63,57,50
Kahului,Min Temp,2010,53,54,58,61,63,64,63,67,63,62,61,55,53
Kahului,Min Temp,2011,56,57,58,60,60,62,63,66,60,61,61,58,56
Kahului,Min Temp,2012,55,56,55,59,56,64,62,66,66,64,57,56,55
Kahului,Min Temp,2013,59,57,55,57,62,65,66,67,64,64,58,60,55
Kahului,Min Temp,2014,55,60,58,62,64,64,64,64,66,66,63,58,55
Kahului,Min Temp,2015,54,56,55,63,61,64,69,71,68,64,62,60,54
Kahului,Min Temp,2016,57,55,61,63,64,67,65,69,68,64,64,61,55
Kahului,Min Temp,2017,57,57,60,61,62,65,65,65,65,63,55,57,55
Kahului,Min Temp,2018,52,57,60,64,59,64,66,69,67,66,60,58,52
Kahului,Min Temp,2019,54,58,58,61,58,65,67,60,67,65,64,59,54
Kahului,Min Temp,2020,55,55,61,60,60,67,68,69,63,64,64,59,55
Kahului,Min Temp,2021,59,57,58,58,63,62,64,0,0,0,0,0,57
Lihue,Precipitation,2000,2.27,0.33,0.97,3.32,0.1,1.12,1.5,0.46,4.33,1.02,1.35,1.19,17.96
Lihue,Precipitation,2001,0.83,3.92,2.85,2.07,0.9,4.03,1.08,1.86,1.19,2.37,6.65,1.5,29.25
Lihue,Precipitation,2002,5.26,0.94,7.86,1.4,3.98,1.43,1.37,2.52,0.81,2.77,2.5,1.08,31.92
Lihue,Precipitation,2003,2.1,4.42,7.07,1.76,2.35,1.4,1.71,0.86,2.53,3.83,4.74,3.01,35.78
Lihue,Precipitation,2004,6.73,5.36,2.55,1.73,1.07,2.72,1.54,4.41,2.72,6.99,4.8,9.29,49.91
Lihue,Precipitation,2005,9.54,5.83,1.11,1.41,1.73,1.36,0.75,0.63,2.56,1.18,1.43,0.08,27.61
Lihue,Precipitation,2006,1.88,8.64,36.13,1.31,1.32,0.77,3.76,4.24,1.7,3.71,2.98,0.59,67.03
Lihue,Precipitation,2007,1.69,1.5,5.82,0.72,0.6,0.32,0.95,0.44,0.44,0.39,6.14,5.36,24.37
Lihue,Precipitation,2008,1.19,1.34,0.19,1.8,1.25,1.68,1.04,1.2,1.65,3.15,6.12,19.46,40.07
Lihue,Precipitation,2009,2.24,1.23,2.08,2.56,0.29,0.58,4.4,3.24,0.9,2.81,5.55,0.75,26.63
Lihue,Precipitation,2010,1.1,0.9,1.76,1.32,2.21,1.11,1.12,1.32,1.33,0.83,1.61,11.33,25.94
Lihue,Precipitation,2011,4.11,6.56,6.73,2.11,9.79,1.98,1.47,1.15,0.79,1.08,4.99,1.91,42.67
Lihue,Precipitation,2012,4.15,9.03,18.17,0.37,0.98,0.45,0.91,1,0.75,0.35,0.58,4.38,41.12
Lihue,Precipitation,2013,5.88,1,4.29,3.12,0.58,0.7,0.96,0.75,2.36,7.99,4.24,5.28,37.15
Lihue,Precipitation,2014,1.71,8.69,1.93,0.65,2.81,3.13,1.45,3.8,1.4,2.74,1.23,1.4,30.94
Lihue,Precipitation,2015,1.16,0.75,1.64,1.48,0.86,0.98,0.79,9.86,4.81,0.6,5.72,1.42,30.07
Lihue,Precipitation,2016,0.32,0.85,2.62,0.83,1.81,1.08,1.7,1.52,0.64,0.45,0.4,1.17,13.39
Lihue,Precipitation,2017,0.2,6.42,4.11,2.39,1.58,0.88,0.94,1.49,0.54,2.89,1.13,1.11,23.68
Lihue,Precipitation,2018,0.44,9.15,9.03,5.72,1.6,1.37,1.71,4.65,5.49,5.02,3.74,4.04,51.96
Lihue,Precipitation,2019,0.58,2.95,1.11,2.03,1.86,5.79,1.72,1.79,3.16,5.46,4.98,7.02,38.45
Lihue,Precipitation,2020,1.6,2.39,15.62,1.96,1.88,0.98,4.66,1.28,1.27,4.05,5.19,2.05,42.93
Lihue,Precipitation,2021,1.68,4.1,11.89,1.54,0.49,1.01,0,0,0,,0,0,0
Lihue,Max Temp,2000,79,80,82,80,83,85,86,87,86,85,84,83,87
Lihue,Max Temp,2001,86,82,83,82,85,84,87,86,87,85,84,81,87
Lihue,Max Temp,2002,83,80,81,83,85,85,87,88,88,86,85,85,88
Lihue,Max Temp,2003,83,80,84,82,84,87,86,86,88,88,83,80,88
Lihue,Max Temp,2004,83,85,81,82,86,85,87,87,87,86,84,81,87
Lihue,Max Temp,2005,83,80,85,83,85,85,87,87,88,85,83,87,88
Lihue,Max Temp,2006,86,81,82,82,83,85,87,85,85,86,86,82,87
Lihue,Max Temp,2007,83,81,84,82,85,85,86,88,87,86,84,85,88
Lihue,Max Temp,2008,78,83,83,82,85,85,88,88,86,85,82,80,88
Lihue,Max Temp,2009,80,76,76,77,83,85,85,84,86,87,82,80,87
Lihue,Max Temp,2010,83,83,79,82,84,84,86,85,87,86,86,84,87
Lihue,Max Temp,2011,81,81,82,83,84,82,86,86,87,86,81,79,87
Lihue,Max Temp,2012,82,80,80,83,83,84,85,85,85,91,84,85,91
Lihue,Max Temp,2013,78,78,80,81,86,85,86,89,87,84,82,81,89
Lihue,Max Temp,2014,82,82,80,81,84,84,86,87,88,89,85,82,89
Lihue,Max Temp,2015,85,89,83,84,84,86,89,90,87,86,86,83,90
Lihue,Max Temp,2016,86,84,83,86,89,83,87,89,88,87,84,82,89
Lihue,Max Temp,2017,83,85,83,84,86,87,88,90,89,87,84,78,90
Lihue,Max Temp,2018,83,82,85,87,84,86,87,88,85,85,86,82,88
Lihue,Max Temp,2019,83,81,83,87,87,88,88,91,91,89,87,84,91
Lihue,Max Temp,2020,83,81,82,84,83,86,86,88,89,89,84,86,89
Lihue,Max Temp,2021,83,81,81,81,86,89,88,0,0,0,0,0,89
Lihue,Min Temp,2000,59,60,62,61,67,68,71,69,70,71,0,62,59
Lihue,Min Temp,2001,63,61,58,68,68,69,70,71,71,68,63,60,58
Lihue,Min Temp,2002,57,62,60,58,68,72,72,72,69,68,65,60,57
Lihue,Min Temp,2003,54,58,59,64,65,69,69,70,66,65,61,62,54
Lihue,Min Temp,2004,57,60,59,61,63,69,71,71,70,67,63,59,57
Lihue,Min Temp,2005,57,60,53,62,67,72,72,69,70,69,63,61,53
Lihue,Min Temp,2006,64,63,63,67,62,69,70,69,70,61,63,62,61
Lihue,Min Temp,2007,61,57,60,60,68,69,72,72,72,67,66,66,57
Lihue,Min Temp,2008,62,60,63,63,64,68,69,71,68,66,62,63,60
Lihue,Min Temp,2009,56,60,55,59,61,69,69,72,68,66,65,61,55
Lihue,Min Temp,2010,56,57,62,61,66,69,69,70,68,69,65,62,56
Lihue,Min Temp,2011,56,57,65,65,68,67,71,72,68,67,67,65,56
Lihue,Min Temp,2012,56,58,62,65,63,70,68,71,70,69,65,64,56
Lihue,Min Temp,2013,57,63,56,58,60,66,66,68,70,68,61,64,56
Lihue,Min Temp,2014,56,58,58,63,65,70,71,70,70,70,63,58,56
Lihue,Min Temp,2015,54,58,57,67,62,68,70,72,72,67,67,65,54
Lihue,Min Temp,2016,60,56,60,65,66,66,70,73,72,70,65,59,56
Lihue,Min Temp,2017,58,59,60,61,64,70,70,72,70,64,61,55,55
Lihue,Min Temp,2018,62,60,61,58,61,70,71,72,68,66,66,62,58
Lihue,Min Temp,2019,60,56,60,63,61,70,73,75,73,68,64,65,56
Lihue,Min Temp,2020,63,58,64,64,67,70,72,72,70,64,66,65,58
Lihue,Min Temp,2021,62,56,63,63,66,70,73,0,0,0,0,0,56
Molokai Kaunakakai,Precipitation,2000,1.17,0.04,0.31,3.36,0.12,0.22,0.5,1.96,1.29,0.15,1.96,0.3,11.38
Molokai Kaunakakai,Precipitation,2001,0.59,0.65,0.83,0.53,0.86,0.18,0.13,0.43,0.23,1.41,3.29,1.93,11.06
Molokai Kaunakakai,Precipitation,2002,5.33,2,2.22,1.74,2.15,0.22,0.43,0.25,0.16,6.64,1.52,0.29,22.95
Molokai Kaunakakai,Precipitation,2003,8.44,2.49,2.3,0.06,0,0.29,0.33,0.2,0.75,0.26,4.16,5.1,24.38
Molokai Kaunakakai,Precipitation,2004,17.3,4.19,8.73,0,3.5,0.84,0.62,2.13,0.44,0.58,5.06,4.54,0
Molokai Kaunakakai,Precipitation,2005,9.77,2.47,6.59,1,0.39,0.03,0.13,0.26,0.83,0.51,3.16,1.66,26.8
Molokai Kaunakakai,Precipitation,2006,0.38,1.53,10.39,0.48,0,0.03,0.35,0.07,1.53,4.76,4.81,2.23,26.78
Molokai Kaunakakai,Precipitation,2007,2.61,2.33,3.62,0.33,0.09,0.03,0.11,0.33,0.1,0.87,5.31,0,0
Molokai Kaunakakai,Precipitation,2008,0.98,0.97,0.02,1.65,0.42,0.75,1.45,0.16,1.99,0.87,4,5.8,19.06
Molokai Kaunakakai,Precipitation,2009,4.08,0.84,1.27,0.69,1.77,0.19,0.27,0.79,0.19,0.19,1.42,3.37,15.07
Molokai Kaunakakai,Precipitation,2010,4.92,1.55,2.74,0.92,0.02,0.19,0.47,0.26,0.26,0.4,1.05,4.02,16.8
Molokai Kaunakakai,Precipitation,2011,4.54,1.08,1.16,0.52,0.11,0,0.39,0.2,0.11,0.25,0.52,1.17,0
Molokai Kaunakakai,Precipitation,2012,0.03,0.49,4.14,0.24,0.09,0.26,0.08,0.62,0.33,0.24,0.18,0.45,7.15
Molokai Kaunakakai,Precipitation,2013,6.62,0.44,4.29,0.82,1.55,0.24,1.26,0.96,0.32,0.17,1.37,0.87,18.91
Molokai Kaunakakai,Precipitation,2014,6.49,4.85,4.62,1.55,4.48,0.27,1.18,2.51,3.01,4.08,2.87,4.47,40.38
